h_deg,v_deg,flux_lm,solid_angle_sr,intensity_cd
6.5,-18.5,0.0029754,0.000288872238,10.3000552
7.5,-18.5,0.0029754,0.000288872238,10.3000552
8.5,-18.5,0.0024795,0.000288872238,8.58337933
9.5,-18.5,0.0028101,0.000288872238,9.7278299
10.5,-18.5,0.0026448,0.000288872238,9.15560462
11.5,-18.5,0.0026448,0.000288872238,9.15560462
12.5,-18.5,0.0029754,0.000288872238,10.3000552
13.5,-18.5,0.0019836,0.000288872238,6.86670346
14.5,-18.5,0.001653,0.000288872238,5.72225289
15.5,-18.5,0.0018183,0.000288872238,6.29447817
16.5,-18.5,0.0018183,0.000288872238,6.29447817
17.5,-18.5,0.003306,0.000288872238,11.4445058
18.5,-18.5,0.0034713,0.000288872238,12.0167311
19.5,-18.5,0.0024795,0.000288872238,8.58337933
20.5,-18.5,0.0028101,0.000288872238,9.7278299
21.5,-18.5,0.003306,0.000288872238,11.4445058
22.5,-18.5,0.0018183,0.000288872238,6.29447817
23.5,-18.5,0.0021489,0.000288872238,7.43892875
24.5,-18.5,0.0024795,0.000288872238,8.58337933
25.5,-18.5,0.0023142,0.000288872238,8.01115404
26.5,-18.5,0.0028101,0.000288872238,9.7278299
27.5,-18.5,0.0014877,0.000288872238,5.1500276
28.5,-18.5,0.0018183,0.000288872238,6.29447817
29.5,-18.5,0.0021489,0.000288872238,7.43892875
-29.5,-17.5,0.0023142,0.000290515109,7.96585074
-28.5,-17.5,0.0021489,0.000290515109,7.3968614
-27.5,-17.5,0.0026448,0.000290515109,9.10382942
-26.5,-17.5,0.0021489,0.000290515109,7.3968614
-25.5,-17.5,0.0029754,0.000290515109,10.2418081
-24.5,-17.5,0.0029754,0.000290515109,10.2418081
-23.5,-17.5,0.0023142,0.000290515109,7.96585074
-22.5,-17.5,0.0031407,0.000290515109,10.8107974
-21.5,-17.5,0.0018183,0.000290515109,6.25888273
-20.5,-17.5,0.0024795,0.000290515109,8.53484008
-19.5,-17.5,0.0024795,0.000290515109,8.53484008
-18.5,-17.5,0.0018183,0.000290515109,6.25888273
-17.5,-17.5,0.0021489,0.000290515109,7.3968614
-16.5,-17.5,0.0024795,0.000290515109,8.53484008
-15.5,-17.5,0.0031407,0.000290515109,10.8107974
-14.5,-17.5,0.0028101,0.000290515109,9.67281876
-13.5,-17.5,0.0029754,0.000290515109,10.2418081
-12.5,-17.5,0.0028101,0.000290515109,9.67281876
-11.5,-17.5,0.0029754,0.000290515109,10.2418081
-10.5,-17.5,0.0023142,0.000290515109,7.96585074
-9.5,-17.5,0.0034713,0.000290515109,11.9487761
-8.5,-17.5,0.003306,0.000290515109,11.3797868
-7.5,-17.5,0.0031407,0.000290515109,10.8107974
-6.5,-17.5,0.0036366,0.000290515109,12.5177655
-5.5,-17.5,0.003306,0.000290515109,11.3797868
-4.5,-17.5,0.003306,0.000290515109,11.3797868
-3.5,-17.5,0.0024795,0.000290515109,8.53484008
-2.5,-17.5,0.0028101,0.000290515109,9.67281876
-1.5,-17.5,0.0023142,0.000290515109,7.96585074
-0.5,-17.5,0.0031407,0.000290515109,10.8107974
0.5,-17.5,0.0026448,0.000290515109,9.10382942
1.5,-17.5,0.0011571,0.000290515109,3.98292537
2.5,-17.5,0.0029754,0.000290515109,10.2418081
3.5,-17.5,0.0019836,0.000290515109,6.82787207
4.5,-17.5,0.0034713,0.000290515109,11.9487761
