v_deg,h_-20,h_-10,h_-5,h_0,h_5,h_10,h_20
10,0,0,80,80,80,0,0
5,40,80,180,280,180,80,40
0,100,280,360,400,360,280,100
-5,40,80,180,280,180,80,40
-10,0,0,80,80,80,0,0

