h_deg,v_deg,flux_lm,solid_angle_sr,intensity_cd
5.5,-18.5,0.0380830408,0.000288872238,131.833509
6.5,-18.5,0.0343296668,0.000288872238,118.840311
7.5,-18.5,0.0365935184,0.000288872238,126.677172
8.5,-18.5,0.0297480177,0.000288872238,102.979843
9.5,-18.5,0.0337964652,0.000288872238,116.994507
10.5,-18.5,0.0310122748,0.000288872238,107.35637
11.5,-18.5,0.0272576161,0.000288872238,94.3587249
12.5,-18.5,0.0291786596,0.000288872238,101.008874
13.5,-18.5,0.0228297924,0.000288872238,79.0307595
14.5,-18.5,0.0274952256,0.000288872238,95.1812668
15.5,-18.5,0.0218043786,0.000288872238,75.4810455
16.5,-18.5,0.0227378116,0.000288872238,78.7123462
17.5,-18.5,0.0204402043,0.000288872238,70.7586315
18.5,-18.5,0.0191131789,0.000288872238,66.1648172
19.5,-18.5,0.0174701698,0.000288872238,60.4771505
20.5,-18.5,0.0153451113,0.000288872238,53.1207547
21.5,-18.5,0.0138652346,0.000288872238,47.9978094
22.5,-18.5,0.0163625711,0.000288872238,56.6429338
23.5,-18.5,0.0152006159,0.000288872238,52.6205494
24.5,-18.5,0.0132456283,0.000288872238,45.8528946
25.5,-18.5,0.0135063182,0.000288872238,46.7553349
26.5,-18.5,0.0110981414,0.000288872238,38.4188576
27.5,-18.5,0.011354593,0.000288872238,39.306626
28.5,-18.5,0.00990258377,0.000288872238,34.2801504
29.5,-18.5,0.0104627276,0.000288872238,36.2192216
-29.5,-17.5,0.00926677005,0.000290515109,31.8977215
-28.5,-17.5,0.0108679577,0.000290515109,37.4092685
-27.5,-17.5,0.0104556543,0.000290515109,35.9900533
-26.5,-17.5,0.0101970086,0.000290515109,35.099753
-25.5,-17.5,0.0130727057,0.000290515109,44.9983676
-24.5,-17.5,0.013601219,0.000290515109,46.8175958
-23.5,-17.5,0.0161947112,0.000290515109,55.7448156
-22.5,-17.5,0.0144958496,0.000290515109,49.897059
-21.5,-17.5,0.0159724253,0.000290515109,54.9796714
-20.5,-17.5,0.0179437149,0.000290515109,61.7651694
-19.5,-17.5,0.0157394495,0.000290515109,54.1777312
-18.5,-17.5,0.0249480955,0.000290515109,85.8753804
-17.5,-17.5,0.0233818262,0.000290515109,80.4840279
-16.5,-17.5,0.0219690831,0.000290515109,75.6211377
-15.5,-17.5,0.0223258093,0.000290515109,76.8490471
-14.5,-17.5,0.0241391273,0.000290515109,83.0907807
-13.5,-17.5,0.0265940911,0.000290515109,91.5411633
-12.5,-17.5,0.0266217802,0.000290515109,91.6364736
-11.5,-17.5,0.0311909045,0.000290515109,107.364139
-10.5,-17.5,0.032675188,0.000290515109,112.473283
-9.5,-17.5,0.0317174178,0.000290515109,109.176483
-8.5,-17.5,0.0385659373,0.000290515109,132.750195
-7.5,-17.5,0.0389068368,0.000290515109,133.923626
-6.5,-17.5,0.0371274297,0.000290515109,127.798619
-5.5,-17.5,0.0364853611,0.000290515109,125.588515
-4.5,-17.5,0.0360042968,0.000290515109,123.932614
-3.5,-17.5,0.0412239361,0.000290515109,141.899456
-2.5,-17.5,0.043672281,0.000290515109,150.327055
-1.5,-17.5,0.0423707895,0.000290515109,145.847111
-0.5,-17.5,0.0440027166,0.000290515109,151.464468
0.5,-17.5,0.0470998622,0.000290515109,162.125344
1.5,-17.5,0.0425353887,0.000290515109,146.413688
2.5,-17.5,0.0428576113,0.000290515109,147.522831
3.5,-17.5,0.0407349545,0.000290515109,140.216302
4.5,-17.5,0.0381223788,0.000290515109,131.223395
5.5,-17.5,0.0361589083,0.000290515109,124.464812
6.5,-17.5,0.0397334586,0.000290515109,136.768992
7.5,-17.5,0.0393950288,0.000290515109,135.604062
8.5,-17.5,0.0372630439,0.000290515109,128.265425
9.5,-17.5,0.0362714578,0.000290515109,124.852225
10.5,-17.5,0.0268223885,0.000290515109,92.327
11.5,-17.5,0.0331401539,0.000290515109,114.073771
12.5,-17.5,0.028894351,0.000290515109,99.45903
13.5,-17.5,0.0251351594,0.000290515109,86.5192844
14.5,-17.5,0.025432747,0.000290515109,87.543629
15.5,-17.5,0.0263680137,0.000290515109,90.7629685
16.5,-17.5,0.023263426,0.000290515109,80.0764755
17.5,-17.5,0.0225783282,0.000290515109,77.7182579
18.5,-17.5,0.0191537787,0.000290515109,65.9304047
19.5,-17.5,0.0215221455,0.000290515109,74.0827062
20.5,-17.5,0.0169832425,0.000290515109,58.4590678
