lens_id,diffuser_id,rows,cols,spacing_x_mm,spacing_y_mm,lens_position_mm,current_per_led_ma,total_current_ma,power_w,source_flux_lm,exit_flux_lm,i00_cd,imax_cd,apparent_area_cm2,passed,note
ledil_c16369_hb_sq_w_xhp70p2,none,2,4,28.0,28.0,,14.585791643180004,116.68633314544003,1.4002359977452805,190.0320282654309,151.21093971910702,440.01063586375074,485.4054904198498,50.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,none,1,4,28.0,28.0,,29.30886709322164,117.23546837288656,1.4068256204746388,190.92633420727242,152.02356284207795,442.08136114999974,484.90593413770534,25.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,none,2,2,28.0,28.0,,29.30886709322164,117.23546837288656,1.4068256204746388,190.92633420727242,152.02356284207795,442.08136114999974,484.90593413770534,25.0,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,none,2,3,28.0,28.0,,20.254076949374735,121.52446169624841,1.4582935403549808,197.91126619103312,157.50342032575364,461.66898972552286,505.3769502086555,37.5,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,none,3,2,28.0,28.0,,20.254076949374735,121.52446169624841,1.4582935403549808,197.91126619103312,157.50342032575364,461.66898972552286,505.3769502086555,37.5,True,scaled physical approximation
ledil_c16369_hb_sq_w_xhp70p2,none,3,4,28.0,28.0,,10.328584352426024,123.94301222911228,1.4873161467493474,201.8500484874114,160.5866331518975,454.1401003736638,515.593399972917,75.0,True,scaled physical approximation
carclo_10756_xhp70p2,plane_diffuser,3,4,28.0,28.0,,10.401897111496112,124.82276533795334,1.49787318405544,203.28278926466686,114.83815372650845,410.41848311891897,442.68074816924764,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,plane_diffuser,1,3,28.0,28.0,,41.79565351488997,125.3869605446699,1.5046435265360387,204.20162145846243,115.38178319207273,407.72768921617944,478.387404229072,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,plane_diffuser,3,1,28.0,28.0,,41.79565351488997,125.3869605446699,1.5046435265360387,204.20162145846243,115.38178319207273,407.72768921617944,478.387404229072,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,plane_diffuser,1,4,28.0,28.0,,31.42893446891079,125.71573787564316,1.5085888545077177,204.73705882604744,115.75854462217902,408.1939026826487,461.24100060982795,27.0,True,scaled physical approximation
carclo_10756_xhp70p2,plane_diffuser,2,2,28.0,28.0,,31.42893446891079,125.71573787564316,1.5085888545077177,204.73705882604744,115.75854462217902,408.1939026826487,461.24100060982795,27.0,True,scaled physical approximation
